district_id,state_id,name
437,29,Rupnagar
438,29,Patiala
439,29,Ludhiana
440,29,Fatehgarh Sahib
441,29,Sangrur
442,29,Barnala
443,29,Amritsar
444,29,Tarn Taran
445,29,Bathinda
446,29,Mansa
447,29,Muktsar
448,29,Moga
449,29,Faridkot
450,29,Firozpur
451,29,Fazilka
452,29,Gurdaspur
453,29,Pathankot
454,29,Hoshiarpur
455,29,Nawanshahr
456,29,Jalandhar
457,29,Kapurthala
458,30,Ajmer
459,30,Rajsamand
460,30,Bhilwara
461,30,Chittorgarh
462,30,Banswara
463,30,Dungarpur
464,30,Kota
465,30,Baran
466,30,Jhalawar
467,30,Bundi
468,30,Tonk
469,30,Udaipur
470,30,Alwar
471,30,Bharatpur
472,30,Dholpur
473,30,Jaipur
474,30,Dausa
475,30,Sawai Madhopur
476,30,Karauli
477,30,Barmer
478,30,Bikaner
479,30,Churu
480,30,Jhujhunu
481,30,Jodhpur
482,30,Jaisalmer
483,30,Nagaur
484,30,Pali
485,30,Sikar
486,30,Sirohi
487,30,Jalor
488,30,Ganganagar
489,30,Hanumangarh
490,31,Chennai
491,31,Vellore
492,31,Tiruvannamalai
493,31,Kanchipuram
494,31,Tiruvallur
495,31,Villupuram
496,31,Cuddalore
497,31,Coimbatore
498,31,Dharmapuri
499,31,Salem
500,31,Erode
501,31,Karur
502,31,Namakkal
503,31,Krishnagiri
504,31,Nilgiris
505,31,Dindigul
506,31,Kanyakumari
507,31,Sivaganga
508,31,Ramanathapuram
509,31,Tuticorin
510,31,Tirunelveli
511,31,Madurai
512,31,Theni
513,31,Virudhunagar
514,31,Ariyalur
515,31,Tiruchirappalli
516,31,Pudukkottai
517,31,Tiruvarur
518,31,Thanjavur
519,31,Nagapattinam
520,3,Karaikal
521,31,Perambalur
522,32,Agra
523,32,Aligarh
524,32,Hathras
525,32,Bulandshahr
526,32,Gautam Buddha Nagar
527,32,Etah
528,32,Firozabad
529,32,Etawah
530,32,Auraiya
531,32,Jhansi
532,32,Jalaun
533,32,Lalitpur
534,32,Mainpuri
535,32,Mathura
536,32,Azamgarh
537,32,Allahabad
538,32,Kaushambi
539,32,Ghazipur
540,32,Jaunpur
541,32,Sonbhadra
542,32,Mirzapur
543,32,Pratapgarh
544,32,Varanasi
545,32,Chandauli
546,32,Sant Ravidas Nagar
547,32,Pilibhit
548,32,Bareilly
549,32,Bijnor
550,33,Haridwar
551,32,Budaun
552,32,Hardoi
553,32,Kheri
554,32,Meerut
555,32,Bagpat
556,32,Moradabad
557,32,Jyotiba Phule Nagar
558,32,Rampur
559,32,Muzaffarnagar
560,32,Saharanpur
561,32,Shahjahanpur
562,32,Mau
563,32,Shrawasti
564,32,Bahraich
565,32,Ballia
566,32,Siddharthnagar
567,32,Sant Kabir Nagar
568,32,Basti
569,32,Deoria
570,32,Kushinagar
571,32,Gonda
572,32,Balrampur
573,32,Gorakhpur
574,32,Maharajganj
575,32,Banda
576,32,Chitrakoot
577,32,Mahoba
578,32,Hamirpur
579,32,Kannauj
580,32,Farrukhabad
581,32,Fatehpur
582,32,Kanpur Nagar
583,32,Unnao
584,32,Kanpur Dehat
585,32,Barabanki
586,32,Faizabad
587,32,Ambedkar Nagar
588,32,Ghaziabad
589,32,Lucknow
590,32,Raebareli
591,32,Sitapur
592,32,Sultanpur
593,33,Almora
594,33,Bageshwar
595,33,Chamoli
596,33,Rudraprayag
597,33,Dehradun
598,33,Udham Singh Nagar
599,33,Nainital
600,33,Champawat
601,33,Pauri Garhwal
602,33,Pithoragarh
603,33,Tehri Garhwal
604,33,Uttarkashi
605,34,Kolkata
606,34,North 24 Parganas
607,34,South 24 Parganas
608,34,Birbhum
609,34,Murshidabad
610,34,Nadia
611,35,South Andaman
612,35,North and Middle Andaman
613,35,Nicobar
614,34,Cooch Behar
615,34,Jalpaiguri
616,34,Darjiling
617,34,Malda
618,36,East Sikkim
619,36,West Sikkim
620,36,South Sikkim
621,36,North Sikkim
622,34,South Dinajpur
623,34,North Dinajpur
624,34,Bardhaman
625,34,Bankura
626,34,West Midnapore
627,34,East Midnapore
628,34,Hooghly
629,34,Howrah
630,34,Medinipur
631,34,Puruliya
